Dataset,Tama̱o Ventana,Tiempo Medio,Fitnes Medio
Daily_Temperatures,730,0.13622043132781983,1.2551075402190222
Daily_Temperatures,365,1.4334172169367472,1.8890357401521831
Heart_Rate_P1,600,0.12363162040710449,0.8698118557975728
Heart_Rate_P1,450,0.12574936548868815,1.1462791008465627
Heart_Rate_P1,360,0.12728563944498697,1.4411150018868588
Heart_Rate_P1,300,0.1285878340403239,1.6721697867407452
Heart_Rate_P1,225,0.12953323523203533,2.028200053833685
Heart_Rate_P1,200,0.4995201746622721,2.3526277651855425
Heart_Rate_P1,180,1.3715344429016114,2.673123264481806
Heart_Rate_P2,600,0.12364114920298258,0.7955193081304723
Heart_Rate_P2,450,0.12650887171427408,1.2767258014528382
Heart_Rate_P2,360,0.12725785573323567,1.3364533359643067
Heart_Rate_P2,300,0.12811150550842285,2.05857332723376
Heart_Rate_P2,225,0.22911531925201417,2.1942916761665505
Heart_Rate_P2,200,0.48519752025604246,2.1867224736474293
Heart_Rate_P2,180,1.3509220520655314,2.8994729659254355
Heart_Rate_P3,190,0.12312181790669759,1.0528889662965286
Heart_Rate_P3,95,1.3372055927912394,3.2250432888099865
Heart_Rate_P4,190,0.12367219924926758,1.0157161262668428
Heart_Rate_P4,95,1.3615519285202027,2.8031357483065076
Synthetic_1,250,0.12210381825764974,1.3585300742315825
Synthetic_1,200,0.1237792730331421,0.0733571022609863
Synthetic_1,125,92.62993784745534,1.6806188575528627
Synthetic_1,100,-1.0,-1.0
Synthetic_2,250,0.12422270774841308,0.6033669265163264
Synthetic_2,200,0.12547823588053386,0.7030926888335756
Synthetic_2,125,92.91551915009816,1.5194937181486428
Synthetic_2,100,-1.0,-1.0
Synthetic_3,250,0.12487525145212809,1.3542446277451696
Synthetic_3,200,0.12600307464599608,2.1590707775434246
Synthetic_3,125,26.960607051849365,3.1210595176910325
Synthetic_3,100,-1.0,-1.0
Synthetic_4,250,0.12780020236968995,0.643311423963375
Synthetic_4,200,0.12814428011576334,1.810092177680498
Synthetic_4,125,6.647650853792826,2.0757571185408294
Synthetic_4,100,-1.0,-1.0
Synthetic_5,250,0.12675939400990804,1.3292038567821165
Synthetic_5,200,0.12810195287068685,1.4948696931774696
Synthetic_5,125,1.2749143679936727,2.210449082563675
Synthetic_5,100,-1.0,-1.0
